Name,|V| or n,|E| or m,"Constructive Algorithm: Simple Randomized or Randomized-1","Constructive Algorithm: Simple Greedy or Greedy-1","Constructive Algorithm: Semi-greedy-1","Local Search: No. of iterations","Local Search: Average value","GRASP: No. of iterations","GRASP: Best value","Known best solution or upper bound"
G1,800,19176,9587.17,11011,11295,50,11361.6,50,11476,12078
G2,800,19176,9570.3,11058,11184,50,11360.6,50,11478,12084
G3,800,19176,9562.77,11018,11230,50,11358.5,50,11430,12077
G4,800,19176,9586.2,11053,11268,50,11389.4,50,11452,-1
G5,800,19176,9596.77,11055,11299,50,11375.2,50,11456,-1
G6,800,19176,81.5,1566,1739,50,1896.3,50,1980,-1
G7,800,19176,-75.9,1350,1534,50,1728.18,50,1800,-1
G8,800,19176,-83.9667,1367,1641,50,1742.72,50,1820,-1
G9,800,19176,-29,1426,1646,50,1774.9,50,1854,-1
G10,800,19176,-88.6333,1351,1570,50,1725.04,50,1810,-1
G11,800,1600,14.6,430,479,50,450.08,50,466,627
G12,800,1600,2.53333,417,467,50,435.7,50,476,621
G13,800,1600,15.0667,417,468,50,463.68,50,485,645
G14,800,4694,2343.23,2889,2945,50,2969.78,50,2990,3187
G15,800,4661,2336.6,2880,2922,50,2948.72,50,2973,3169
G16,800,4672,2335.07,2886,2925,50,2958.32,50,2980,3172
G17,800,4667,2338,2887,2914,50,2951.42,50,2975,-1
G18,800,4694,23.1333,807,813,50,846.08,50,880,-1
G19,800,4661,-58.3333,743,731,50,749.66,50,801,-1
G20,800,4672,-10.8667,747,783,50,792.26,50,842,-1
G21,800,4667,-30.0667,721,728,50,773.2,50,811,-1
G22,2000,19990,10002.3,12383,12757,10,12914.9,10,12930,14123
G23,2000,19990,9996.5,12330,12765,10,12907.5,10,12967,14129
G24,2000,19990,9993.63,12384,12757,10,12919.1,10,12965,14131
G25,2000,19990,9978.47,12388,12794,10,12891.7,10,12950,-1
G26,2000,19990,9997.2,12355,12837,10,12915.9,10,12946,-1
G27,2000,19990,-3.6,2320,2672,10,2813.2,10,2895,-1
G28,2000,19990,-51.3667,2294,2614,10,2779.1,10,2838,-1
G29,2000,19990,53.0667,2392,2726,10,2882.5,10,2925,-1
G30,2000,19990,33.9333,2391,2720,10,2887.6,10,2933,-1
G31,2000,19990,-47.0333,2301,2628,10,2804,10,2877,-1
G32,2000,4000,8,1027,1197,10,1105.6,10,1173,1560
G33,2000,4000,-10.9333,1006,1166,10,1092.2,10,1118,1537
G34,2000,4000,-21.8,978,1162,10,1077.5,10,1134,1541
G35,2000,11778,5908.53,7279,7425,10,7445.1,10,7461,8000
G36,2000,11766,5890.87,7252,7371,10,7435.5,10,7468,7996
G37,2000,11785,5881.8,7277,7379,10,7450.5,10,7473,8009
G38,2000,11779,5896.7,7280,7388,10,7436.4,10,7466,-1
G39,2000,11778,30.5667,1852,1906,10,2017.9,10,2066,-1
G40,2000,11766,-37.8,1834,1997,10,2005.5,10,2067,-1
G41,2000,11785,-8.5,1875,1910,10,2039.3,10,2071,-1
G42,2000,11779,46.2667,1986,1970,10,2089,10,2150,-1
G43,1000,9990,4991.17,6216,6374,10,6435,10,6473,7027
G44,1000,9990,5004.27,6151,6348,10,6430.3,10,6496,7022
G45,1000,9990,4998.2,6182,6364,10,6426.5,10,6482,7020
G46,1000,9990,4995.53,6205,6354,10,6438.3,10,6496,-1
G47,1000,9990,4982.03,6202,6322,10,6447.7,10,6460,-1
G48,3000,6000,2997.4,6000,6000,10,6000,10,6000,6000
G49,3000,6000,3002.33,6000,6000,10,6000,10,6000,6000
G50,3000,6000,2987.8,5881,5880,10,5854.6,10,5868,5988
G51,1000,5909,2953.27,3629,3674,10,3729.6,10,3744,-1
G52,1000,5916,2962.87,3642,3703,10,3736,10,3744,-1
G53,1000,5914,2949.33,3642,3686,10,3727.6,10,3749,-1
G54,1000,5916,2961.5,3621,3690,10,3727.1,10,3743,-1
